,declara,fin_declara,dato,opdec,numerico,cadena,",",id,[,num,],comienza,termina,funciones,fin_funciones,;,funcion,(,),fin_funcion,mientras,fin_mientras,si,entonces,otro_caso,fin_si,repite,hasta,lee,asig,escribe,escribe_ret,o,y,no,=,dif,mai,mei,>,<,+,-,*,/,div,mod,abs,cad,fin,PROGP,PROG,SDAT,LDATOS,DEC,TIPO,LV,VAR,PPAL,SFUN,LFUN,BLQ,FUN,PRM,INST,W,IF,REP,LEE,VARL,ASIG,VASIG,ESC,K,L,N,E,T,F,NFUN,ARGS
121, , , , , , ,r57, , , , , , , , ,r57, , ,r57, , , , , , , , , , , , , ,r57,r57, ,r57,r57,r57,r57,r57,r57,r57,r57,s92,s93,s94,s95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
122, , , , , , ,r59, , , , , , , , ,r59, , ,r59, , , , , , , , , , , , , ,r59,r59, ,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
123, , , , , , ,r60, , , , , , , , ,r60, , ,r60, , , , , , , , , , , , , ,r60,r60, ,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
124, , , , , , ,r61, , , , , , , , ,r61, , ,r61, , , , , , , , , , , , , ,r61,r61, ,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
125, , , , , , ,r62, , , , , , , , ,r62, , ,r62, , , , , , , , , , , , , ,r62,r62, ,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
126, , , , , , ,r64, , , , , , , , ,r64, , ,r64, , , , , , , , , , , , , ,r64,r64, ,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
127, , , , , , , , , , , , , , , , , , ,s140, , , , , , , , , , , , , ,s81,s82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
128, , , , , , , , , , ,s141, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
129, , , , , , , , , , ,s142, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
130, , , , , , ,s144, , , , , , , , , , , ,s143, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
131, , , , , , ,r73, , , , , , , , , , , ,r73, , , , , , , , , , , , , ,s81,s82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
132, , , , , , , ,s26, , , , , , , , , , , , ,s21, ,s20, , , ,s22, ,s23, ,s24,s25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,g145, , ,g12,g15,g14,g16,g17, ,g13,g19,g18, , , , , , , , 
133, , , , , , , ,s26, , , , , , , , , , , , ,s21,s146,s20, , , ,s22, ,s23, ,s24,s25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,g36,g15,g14,g16,g17, ,g13,g19,g18, , , , , , , , 
134, , , , , , , , , , , , , , , , , , ,s147, , , , , , , , , , , , , ,s81,s82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
135, , , , , , , , , , ,s148, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
136, , , , , , , , , , ,s149, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
137, , , , , , ,s151, , , , , , , , , , , ,s150, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
138, , , , , , , ,s152, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
139, , , , , , ,r46, , , , , , , , ,r46, , ,r46, , , , , , , , , , , , , ,r46,r46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
140, , , , , , ,r65, , , , , , , , ,r65, , ,r65, , , , , , , , , , , , , ,r65,r65, ,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
141, , , , , , ,r67, , , , , , , , ,r67, , ,r67, , , , , , , , , , , , , ,r67,r67, ,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
142, , , , , , ,r68, , , , , , , , ,r68, , ,r68, , , , , , , , , , , , , ,r68,r68, ,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
143, , , , , , ,r71, , , , , , , , ,r71, , ,r71, , , , , , , , , , , , , ,r71,r71, ,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
144, , , , , , , ,s64, ,s65, , , , , , , ,s62, , , , , , , , , , , , , , , , ,s56, , , , , , , , , , , , ,s63,s66, , , , , , , , , , , , , , , , , , , , , , , , ,g153,g57,g58,g59,g60,g61,g67, 
145, , , , , , , ,s26, , , , , , , , , , , , ,s21, ,s20, ,s154,s155,s22, ,s23, ,s24,s25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,g36,g15,g14,g16,g17, ,g13,g19,g18, , , , , , , , 
146, , , , , , , , , , , , , , , ,r30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
147, , , , , , , , , , , , , , , ,r33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
148, , , , , , , , , , , , , , , , , , ,r36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
149, , , , , , , , , , , , , , , , , , ,r37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
150, , , , , , , ,s26, , , , , , , , , , , , ,s21, ,s20, , , ,s22, ,s23, ,s24,s25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,g156, , ,g12,g15,g14,g16,g17, ,g13,g19,g18, , , , , , , , 
151, , , , ,s52,s53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,g157, , , , , , , , , , , , , , , , , , , , , , , , , 
152, , , , , , ,r22, , , , , , , , , , , ,r22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
153, , , , , , ,r74, , , , , , , , , , , ,r74, , , , , , , , , , , , , ,s81,s82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
154, , , , , , , ,s26, , , , , , , , , , , , ,s21, ,s20, , , ,s22, ,s23, ,s24,s25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,g158, , ,g12,g15,g14,g16,g17, ,g13,g19,g18, , , , , , , , 
155, , , , , , , , , , , , , , , ,r32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
156, , , , , , , ,s26, , , , , , , , , , , ,s159,s21, ,s20, , , ,s22, ,s23, ,s24,s25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,g36,g15,g14,g16,g17, ,g13,g19,g18, , , , , , , , 
157, , , , , , , ,s160, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
158, , , , , , , ,s26, , , , , , , , , , , , ,s21, ,s20, , ,s161,s22, ,s23, ,s24,s25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,g36,g15,g14,g16,g17, ,g13,g19,g18, , , , , , , , 
159, , , , , , , , , , , , , , ,r20, ,r20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
160, , , , , , ,r21, , , , , , , , , , , ,r21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
161, , , , , , , , , , , , , , , ,r31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
